[2026-02-15 15:47:40.335][GPIO 3] [839672279] LEVEL: 0 | EDGE: 0
[2026-02-15 15:47:50.268][GPIO 3] [849557130] LEVEL: 1 | EDGE: 1
[2026-02-15 15:48:00.098][GPIO 3] [859443262] LEVEL: 0 | EDGE: 0
[2026-02-15 15:48:10.032][GPIO 3] [869328664] LEVEL: 1 | EDGE: 1
[2026-02-15 15:48:19.852][GPIO 3] [879213839] LEVEL: 0 | EDGE: 0
[2026-02-15 15:48:29.793][GPIO 3] [889098799] LEVEL: 1 | EDGE: 1
[2026-02-15 15:48:39.625][GPIO 3] [898984079] LEVEL: 0 | EDGE: 0
[2026-02-15 15:48:49.556][GPIO 3] [908869366] LEVEL: 1 | EDGE: 1
[2026-02-15 15:48:59.387][GPIO 3] [918754680] LEVEL: 0 | EDGE: 0
[2026-02-15 15:49:09.211][GPIO 3] [928639795] LEVEL: 1 | EDGE: 1
[2026-02-15 15:49:19.135][GPIO 3] [938524690] LEVEL: 0 | EDGE: 0
[2026-02-15 15:49:29.082][GPIO 3] [948409319] LEVEL: 1 | EDGE: 1
[2026-02-15 15:49:38.889][GPIO 3] [958293586] LEVEL: 0 | EDGE: 0
[2026-02-15 15:49:48.845][GPIO 3] [968178634] LEVEL: 1 | EDGE: 1
[2026-02-15 15:49:58.659][GPIO 3] [978064374] LEVEL: 0 | EDGE: 0
[2026-02-15 15:50:08.608][GPIO 3] [987949593] LEVEL: 1 | EDGE: 1
[2026-02-15 15:50:18.417][GPIO 3] [997835504] LEVEL: 0 | EDGE: 0
[2026-02-15 15:50:28.375][GPIO 3] [1007721566] LEVEL: 1 | EDGE: 1
[2026-02-15 15:50:38.191][GPIO 3] [1017607525] LEVEL: 0 | EDGE: 0
[2026-02-15 15:50:48.142][GPIO 3] [1027493092] LEVEL: 1 | EDGE: 1
[2026-02-15 15:50:58.178][GPIO 3] [1037377645] LEVEL: 0 | EDGE: 0
[2026-02-15 15:51:07.908][GPIO 3] [1047262827] LEVEL: 1 | EDGE: 1
[2026-02-15 15:51:17.843][GPIO 3] [1057148188] LEVEL: 0 | EDGE: 0
[2026-02-15 15:51:27.670][GPIO 3] [1067034079] LEVEL: 1 | EDGE: 1
[2026-02-15 15:51:37.610][GPIO 3] [1076920274] LEVEL: 0 | EDGE: 0
[2026-02-15 15:51:47.428][GPIO 3] [1086806208] LEVEL: 1 | EDGE: 1
[2026-02-15 15:51:57.374][GPIO 3] [1096692011] LEVEL: 0 | EDGE: 0
[2026-02-15 15:52:07.187][GPIO 3] [1106578044] LEVEL: 1 | EDGE: 1
[2026-02-15 15:52:17.140][GPIO 3] [1116464521] LEVEL: 0 | EDGE: 0
[2026-02-15 15:52:26.957][GPIO 3] [1126350652] LEVEL: 1 | EDGE: 1
[2026-02-15 15:52:37.008][GPIO 3] [1136236663] LEVEL: 0 | EDGE: 0
[2026-02-15 15:52:46.829][GPIO 3] [1146122973] LEVEL: 1 | EDGE: 1
[2026-02-15 15:52:56.671][GPIO 3] [1156008789] LEVEL: 0 | EDGE: 0
[2026-02-15 15:53:06.605][GPIO 3] [1165894309] LEVEL: 1 | EDGE: 1
[2026-02-15 15:53:16.424][GPIO 3] [1175780177] LEVEL: 0 | EDGE: 0
[2026-02-15 15:53:26.371][GPIO 3] [1185665987] LEVEL: 1 | EDGE: 1
[2026-02-15 15:53:36.189][GPIO 3] [1195551422] LEVEL: 0 | EDGE: 0
[2026-02-15 15:53:46.136][GPIO 3] [1205437802] LEVEL: 1 | EDGE: 1
[2026-02-15 15:53:55.953][GPIO 3] [1215324665] LEVEL: 0 | EDGE: 0
[2026-02-15 15:54:05.902][GPIO 3] [1225211830] LEVEL: 1 | EDGE: 1
[2026-02-15 15:54:15.713][GPIO 3] [1235098700] LEVEL: 0 | EDGE: 0
[2026-02-15 15:54:25.646][GPIO 3] [1244985352] LEVEL: 1 | EDGE: 1
[2026-02-15 15:54:35.481][GPIO 3] [1254872277] LEVEL: 0 | EDGE: 0
[2026-02-15 15:54:45.433][GPIO 3] [1264758982] LEVEL: 1 | EDGE: 1
[2026-02-15 15:54:55.366][GPIO 3] [1274645068] LEVEL: 0 | EDGE: 0
[2026-02-15 15:55:05.194][GPIO 3] [1284530980] LEVEL: 1 | EDGE: 1
[2026-02-15 15:55:15.131][GPIO 3] [1294416538] LEVEL: 0 | EDGE: 0
[2026-02-15 15:55:24.951][GPIO 3] [1304302226] LEVEL: 1 | EDGE: 1
[2026-02-15 15:55:34.881][GPIO 3] [1314188824] LEVEL: 0 | EDGE: 0
[2026-02-15 15:55:44.709][GPIO 3] [1324074928] LEVEL: 1 | EDGE: 1
[2026-02-15 15:55:54.663][GPIO 3] [1333961011] LEVEL: 0 | EDGE: 0
[2026-02-15 15:56:04.475][GPIO 3] [1343846805] LEVEL: 1 | EDGE: 1
[2026-02-15 15:56:14.426][GPIO 3] [1353732687] LEVEL: 0 | EDGE: 0
[2026-02-15 15:56:24.241][GPIO 3] [1363618825] LEVEL: 1 | EDGE: 1
[2026-02-15 15:56:34.191][GPIO 3] [1373504931] LEVEL: 0 | EDGE: 0
[2026-02-15 15:56:44.005][GPIO 3] [1383391072] LEVEL: 1 | EDGE: 1
[2026-02-15 15:56:53.956][GPIO 3] [1393277411] LEVEL: 0 | EDGE: 0
[2026-02-15 15:57:03.890][GPIO 3] [1403163397] LEVEL: 1 | EDGE: 1
[2026-02-15 15:57:13.721][GPIO 3] [1413049092] LEVEL: 0 | EDGE: 0
[2026-02-15 15:57:23.654][GPIO 3] [1422935481] LEVEL: 1 | EDGE: 1
[2026-02-15 15:57:33.467][GPIO 3] [1432821077] LEVEL: 0 | EDGE: 0
[2026-02-15 15:57:43.419][GPIO 3] [1442707223] LEVEL: 1 | EDGE: 1
[2026-02-15 15:57:53.233][GPIO 3] [1452593519] LEVEL: 0 | EDGE: 0
[2026-02-15 15:58:03.183][GPIO 3] [1462478827] LEVEL: 1 | EDGE: 1
[2026-02-15 15:58:13.008][GPIO 3] [1472363496] LEVEL: 0 | EDGE: 0
[2026-02-15 15:58:22.948][GPIO 3] [1482248785] LEVEL: 1 | EDGE: 1
[2026-02-15 15:58:32.780][GPIO 3] [1492134056] LEVEL: 0 | EDGE: 0
[2026-02-15 15:58:42.714][GPIO 3] [1502019493] LEVEL: 1 | EDGE: 1
[2026-02-15 15:58:52.527][GPIO 3] [1511904523] LEVEL: 0 | EDGE: 0
[2026-02-15 15:59:02.477][GPIO 3] [1521789191] LEVEL: 1 | EDGE: 1
[2026-02-15 15:59:12.290][GPIO 3] [1531674281] LEVEL: 0 | EDGE: 0
[2026-02-15 15:59:22.238][GPIO 3] [1541559077] LEVEL: 1 | EDGE: 1
[2026-02-15 15:59:32.175][GPIO 3] [1551444114] LEVEL: 0 | EDGE: 0
[2026-02-15 15:59:42.006][GPIO 3] [1561329295] LEVEL: 1 | EDGE: 1
[2026-02-15 15:59:51.939][GPIO 3] [1571214976] LEVEL: 0 | EDGE: 0
[2026-02-15 16:00:01.770][GPIO 3] [1581101252] LEVEL: 1 | EDGE: 1
[2026-02-15 16:00:11.704][GPIO 3] [1590986220] LEVEL: 0 | EDGE: 0
[2026-02-15 16:00:21.530][GPIO 3] [1600870912] LEVEL: 1 | EDGE: 1
[2026-02-15 16:00:31.468][GPIO 3] [1610755848] LEVEL: 0 | EDGE: 0
[2026-02-15 16:00:41.282][GPIO 3] [1620640396] LEVEL: 1 | EDGE: 1
[2026-02-15 16:00:51.232][GPIO 3] [1630525719] LEVEL: 0 | EDGE: 0
[2026-02-15 16:01:01.165][GPIO 3] [1640410396] LEVEL: 1 | EDGE: 1
[2026-02-15 16:01:10.996][GPIO 3] [1650294502] LEVEL: 0 | EDGE: 0
[2026-02-15 16:01:20.812][GPIO 3] [1660178245] LEVEL: 1 | EDGE: 1
[2026-02-15 16:01:30.760][GPIO 3] [1670061660] LEVEL: 0 | EDGE: 0
[2026-02-15 16:01:40.599][GPIO 3] [1679945715] LEVEL: 1 | EDGE: 1
[2026-02-15 16:01:50.524][GPIO 3] [1689829911] LEVEL: 0 | EDGE: 0
[2026-02-15 16:02:00.345][GPIO 3] [1699713589] LEVEL: 1 | EDGE: 1
[2026-02-15 16:02:10.288][GPIO 3] [1709597447] LEVEL: 0 | EDGE: 0
[2026-02-15 16:02:20.324][GPIO 3] [1719481506] LEVEL: 1 | EDGE: 1
[2026-02-15 16:02:30.155][GPIO 3] [1729365559] LEVEL: 0 | EDGE: 0
[2026-02-15 16:02:39.985][GPIO 3] [1739249837] LEVEL: 1 | EDGE: 1
[2026-02-15 16:02:49.919][GPIO 3] [1749134813] LEVEL: 0 | EDGE: 0
[2026-02-15 16:02:59.750][GPIO 3] [1759019605] LEVEL: 1 | EDGE: 1
[2026-02-15 16:03:09.581][GPIO 3] [1768904350] LEVEL: 0 | EDGE: 0
[2026-02-15 16:03:19.514][GPIO 3] [1778789440] LEVEL: 1 | EDGE: 1
[2026-02-15 16:03:29.344][GPIO 3] [1788673836] LEVEL: 0 | EDGE: 0
[2026-02-15 16:03:39.278][GPIO 3] [1798559066] LEVEL: 1 | EDGE: 1
[2026-02-15 16:03:49.108][GPIO 3] [1808444794] LEVEL: 0 | EDGE: 0
[2026-02-15 16:03:59.042][GPIO 3] [1818330119] LEVEL: 1 | EDGE: 1
[2026-02-15 16:04:08.866][GPIO 3] [1828216190] LEVEL: 0 | EDGE: 0
[2026-02-15 16:04:18.805][GPIO 3] [1838102336] LEVEL: 1 | EDGE: 1
